Sentence,Condition
Resmi gazeteye göre bayram tatili 9 gün ilan __________.,High
Takipçi sayısı az olan bir sosyal medya hesabına göre bayram tatili 9 gün ilan __________.,Low
Okan üst kattan çok fazla gürültü geldiğini __________.,Filler
Kurumun resmi sayfasından gelen habere göre bugünkü dersler iptal __________.,High
Resmi olmayan kaynağın haberine göre bugünkü dersler iptal __________.,Low
Haritaya göre kuzey kapısı sağ ____________.,Filler
Hastanenin astığı duyuruya göre hasta ziyaret saatleri __________.,High
Sokakta geçen birine göre hasta ziyaret saatleri __________.,Low
Melis çantasında ev anahtarının olmadığını fark __________.,Filler
Konseri organize eden şirketin haberine göre konser iptal __________.,High
Anonim bir twitter kullanıcısının yaptığı paylaşıma göre konser iptal __________.,Low
Kurala göre sınavda telefon kullanmak __________.,Filler
Belediyenin sms uyarısına göre sular __________.,High
Yan binadaki teyzenin dediğine göre sular __________.,Low
Tarifeye göre kahvaltı fiyata __________.,Filler
Samsung ana sayfasındaki haber göre samsung işlemcisini __________.,High
Doğrulanmamış bir teknoloji sayfasının haberine göre samsung işlemcisini  __________.,Low
Bilete göre koltuk numaran __________.,Filler
Milli eğitim bakanlığının internet sitesine göre sınav ileri tarihe  __________.,High
Anonim bir telegram grubunun duyurusuna göre sınav ileri tarihe  __________.,Low
Emir okul müdürünün ders boş duyurusunu __________.,Filler
Türk hava yollarının yolladığı mesaja göre akşamki uçuşun saatleri  __________.,High
Dün uçan aile bireyinin verdiği habere göre akşamki uçuşun saatleri  __________.,Low
Hakan spor salonunun tadilatta olduğunu kapıda __________.,Filler
İtalya konsolosluğunun web sitesinde yayınladığı habere göre İtalya vize randevuları  __________.,High
Bir instagram paylaşımına göre İtalya vize randevuları  __________.,Low
Etikete göre bu etek __________.,Filler
Galatasarayın yaptığı resmi KAP açıklamasına göre yeni transferleriyle görüşmelere  __________.,High
Galatasaray ile ilgili internette spor yorumculuğu yapan spor yorumcusunun haberine göre yeni transferleriyle görüşmelere  __________.,Low
Takvime göre bugün son başvuru __________.,Filler
Gelen resmi maile göre steam yaz indirimleri dün  __________.,High
Oyun forum sitesinde anonim kullanıcısının paylaştığı gönderiye göre steam yaz indirimleri dün  __________.,Low
Ders planına göre bu hafta sunum __________.,Filler
Apartman girişine asılan habere göre aidatlara zam  __________.,High
Yan apartmanda oturan komşunun söylediğine göre aidatlara zam  __________.,Low
Seda sabah uyandığında alarmın çalmadığını fark __________.,Filler
Yeni modeli tanıtılan telefonun internet sitesindeki habere göre yeni modelin fiyatı belli  __________.,High
İnstagramda teknolojiyle alakalı paylaşımlar yapan sayfaya göre yeni modelin fiyatı belli  __________.,Low
Kılavuza göre şifre en az 8 karakter __________.,Filler
Banka hesabıma gelen bildirime göre maaşlar __________.,High
Muhasebedeki çalışanın söylediğine göre maaşlar __________.,Low
Burak kahve yapacaktım ama hevesim kursağımda __________..,Filler
Uzun süren karantinadan sonra sağlık bakanının televizyondaki konuşmasına göre dışarı çıkma yasağı  __________.,High
Facebookta yapılan habere göre dışarı çıkma yasağı  __________.,Low
Gamze aynada saçında ilk beyaz teli fark __________.,Filler
Oyun yapımcısının yayınladığı yama notlarına göre silahın gücü  __________.,High
Oyun lobisinde denk gelen başka bir oyuncunun söylemine göre silahın gücü __________.,Low
Merve balkondaki annesine bakıp __________.,Filler
Şirketin ceosunun gönderdiği veda mailine göre genel müdür istifa  __________.,High
Sigara molasında denk gelen diğer şirkette çalışan güvenliğin haberine göre genel müdür istifa  __________.,Low
Orhanın mail kutusuna gelen iş teklifini __________.,Filler
İnstagramın twitter üzerinden yaptığı duyuruya göre instagramdaki hata  __________.,High
Forum sitesindeki bende açılıyor diyen kullanıcıya göre instagramdaki hata  __________.,Low
Erva kahvesini gömleğine __________.,Filler
Nasanın canlı yayında başlattığı sayaca göre geri sayım  __________.,High
Uzaylılarla ilgili komplo teoriler paylaşan instagram sayfasının duyuru kanalına göre geri sayım  __________.,Low
Pınar misafirlerin geleceğini saatin ilerlemesiyle fark __________.,Filler
İstasyondaki anonsa göre tren perona __________.,High
Bavullu yolcuların koşuşturmasına göre tren perona __________.,Low
Selen çiçeğinin yapraklarının solduğunu __________.,Filler
